# 预测分析表
                                                                         while                                                         for                                                    continue                                                       break                                                          if                                                        else                                                       float                                                         int                                                        char                                                        void                                                      return                                                           +                                                           -                                                           *                                                           /                                                           %                                                           =                                                           >                                                           <                                                          ==                                                          <=                                                          >=                                                          !=                                                          ++                                                          --                                                          &&                                                          ||                                                          +=                                                          -=                                                          *=                                                          /=                                                          %=                                                           (                                                           )                                                           {                                                           }                                                           ;                                                           ,                                                           [                                                           ]                                                         IDN                                                         INT                                                       FLOAT                                                        CHAR                                                         STR                                                           $
             stmts                                                  stmt stmts                                                  stmt stmts                                                  stmt stmts                                                  stmt stmts                                                  stmt stmts                                                       error                                                       error                                                       error                                                       error                                                       error                                                  stmt stmts                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                  stmt stmts                                                       error                                                       error                                                           $                                                       error                                                       error                                                       error                                                       error                                                  stmt stmts                                                  stmt stmts                                                  stmt stmts                                                  stmt stmts                                                  stmt stmts                                                           $
              stmt                                              iteration_stmt                                              iteration_stmt                                                   jump_stmt                                                   jump_stmt                                                 branch_stmt                                                       error                                                       error                                                       error                                                       error                                                       error                                                   jump_stmt                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                 assign_stmt                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                 assign_stmt                                                 assign_stmt                                                 assign_stmt                                                 assign_stmt                                                 assign_stmt                                                       error
       assign_stmt                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                expression ;                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                expression ;                                                expression ;                                                expression ;                                                expression ;                                                expression ;                                                       error
         jump_stmt                                                       error                                                       error                                                  continue ;                                                     break ;                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                        return isnull_expr ;                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error
    iteration_stmt                     while ( logical_expression ) block_stmt  for ( isnull_expr ; isnull_expr ; isnull_expr ) block_stmt                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error
       branch_stmt                                                       error                                                       error                                                       error                                                       error                 if ( logical_expression ) block_stmt result                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error
            result                                                           $                                                           $                                                           $                                                           $                                                           $                                             else block_stmt                                                       error                                                       error                                                       error                                                       error                                                           $                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                           $                                                       error                                                       error                                                           $                                                       error                                                       error                                                       error                                                       error                                                           $                                                           $                                                           $                                                           $                                                           $                                                           $
logical_expression                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                  expression bool_expression                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                  expression bool_expression                                  expression bool_expression                                  expression bool_expression                                  expression bool_expression                                  expression bool_expression                                                       error
   bool_expression                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                              lop expression bool_expression                              lop expression bool_expression                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                           $                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                           $
               lop                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                          &&                                                          ||                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error
